key,title,group,type,default,reader,consumer,status
settings_scope_info,Область настроек,Настройки камеры,Preference,,,app/src/main/java/com/particlesdevs/photoncamera/ui/settings/SettingsActivity.java,action / information
pref_frame_count_key,Normal RAW frames,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,8,getFrameCountValue,app/src/main/java/com/particlesdevs/photoncamera/api/Settings.java; app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java,connected; conditional pipeline / device support
pref_short_frame_count_key,Short RAW frames,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,1,getShortFrameCountValue,app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java,connected; conditional pipeline / device support
pref_short_exposure_ev_key,Short-frame reduction (EV),Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,4,getShortExposureEvValue,app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java; app/src/main/java/com/particlesdevs/photoncamera/processing/parameters/IsoExpoSelector.java,connected; conditional pipeline / device support
pref_long_frame_count_key,Long RAW frames,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,1,getLongFrameCountValue,app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java,connected; conditional pipeline / device support
pref_long_exposure_ev_key,Long-frame increase (EV),Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,4,getLongExposureEvValue,app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java; app/src/main/java/com/particlesdevs/photoncamera/processing/parameters/IsoExpoSelector.java,connected; conditional pipeline / device support
pref_highlight_suppression_key,Highlight recovery (0–200),Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,100,getHighlightSuppressionValue,app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java; app/src/main/java/com/particlesdevs/photoncamera/processing/processor/HdrxProcessor.java,connected; conditional pipeline / device support
pref_zsl_buffer_count_key,Кадров в буфере ZSL,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,UniversalSeekBarPreference,0,getZslBufferCountValue,app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java,connected; conditional pipeline / device support
pref_max_hdr_ratio_key,Потолок HDR ratio,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,EditTextPreference,9.8,getMaxHdrRatio,app/src/main/java/com/particlesdevs/photoncamera/processing/parameters/IsoExpoSelector.java,connected; conditional pipeline / device support
pref_antibanding_hz_key,"Частота мерцания, Гц",Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,EditTextPreference,120,getAntibandingHz,app/src/main/java/com/particlesdevs/photoncamera/processing/parameters/IsoExpoSelector.java,connected; conditional pipeline / device support
pref_tet_model_enabled_key,TET-модель экспозиций,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,SwitchPreferenceCompat,false,isTetModelEnabled,app/src/main/java/com/particlesdevs/photoncamera/processing/parameters/IsoExpoSelector.java,connected; conditional pipeline / device support
pref_long_frame_shutter_cap_key,Потолок выдержки длинного кадра,Настройки камеры > Съёмка и склейка > Кадры и экспозиция серии,EditTextPreference,2.0,getLongFrameShutterCapPeriods,app/src/main/java/com/particlesdevs/photoncamera/processing/parameters/IsoExpoSelector.java,connected; conditional pipeline / device support
pref_zsl_merge_algorithm_key,ZSL merge algorithm,Настройки камеры > Съёмка и склейка > Склейка кадров,ListPreference,legacy,getZslMergeAlgorithm,app/src/main/java/com/particlesdevs/photoncamera/processing/processor/HdrxProcessor.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_night_merge_algorithm_key,Night merge algorithm,Настройки камеры > Съёмка и склейка > Склейка кадров,ListPreference,legacy,getNightMergeAlgorithm,app/src/main/java/com/particlesdevs/photoncamera/processing/processor/HdrxProcessor.java; app/src/main/java/com/particlesdevs/photoncamera/settings/PreferenceKeys.java,connected; conditional pipeline / device support
pref_processing_backend_key,FlowNet / KernelNet — ускоритель,Настройки камеры > Съёмка и склейка > Склейка кадров,ListPreference,0,getProcessingBackendValue; isFullGpuProcessing,app/src/main/java/com/particlesdevs/photoncamera/app/PhotonCamera.java; app/src/main/java/com/particlesdevs/photoncamera/capture/CaptureController.java; app/src/main/java/com/particlesdevs/photoncamera/processing/ml/FlowNetNcnnProcessor.java; app/src/main/java/com/particlesdevs/photoncamera/processing/ml/KernelNetNcnnProcessor.java; app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java; app/src/main/java/com/particlesdevs/photoncamera/processing/processor/HdrxProcessor.java,connected; conditional pipeline / device support
pref_merge_robustness_key,Робастность склейки,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,8.0,getMergeRobustness,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_merge_clip_level_key,Порог выбитых светов,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,0.99,getMergeClipLevel,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_hdrplus_luma_gain_slope_key,Люма-шумодав: рост с ISO,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,0.15,getHdrPlusLumaGainSlope,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_hdrplus_chroma_gain_slope_key,Хрома-шумодав: рост с ISO,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,0.30,getHdrPlusChromaGainSlope,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_merge_max_exposure_ratio_key,Предел разброса экспозиции,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,64.0,getMergeMaxExposureRatio,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
pref_merge_floor_sigmas_key,Порог шумового дна,Настройки камеры > Съёмка и склейка > Склейка кадров,EditTextPreference,2.0,getMergeFloorSigmas,app/src/main/java/com/particlesdevs/photoncamera/processing/opengl/scripts/ESD4D.java,connected; conditional pipeline / device support
